# Device, ACE0398688
# Generated, 14.04.2026 14:19:39
txstart2: id 0xffffffffffffffff, socket 1, 2026-01-24 07:40:58 2593.341kWh 050FE8E3210000 3 2 N
mv: socket 1, C 2593.341 N
mv: socket 1, 2026-01-24 07:41:00 2593.341 N
mv: socket 1, 2026-01-24 07:55:59 2596.066 N
mv: socket 1, 2026-01-24 08:10:59 2598.849 N
mv: socket 1, 2026-01-24 08:25:59 2601.633 N
mv: socket 1, 2026-01-24 08:40:59 2604.417 N
mv: socket 1, 2026-01-24 08:55:59 2607.201 N
mv: socket 1, 2026-01-24 09:10:59 2609.979 N
mv: socket 1, 2026-01-24 09:25:59 2612.761 N
mv: socket 1, 2026-01-24 09:41:00 2615.540 N
mv: socket 1, 2026-01-24 09:55:59 2618.314 N
mv: socket 1, 2026-01-24 10:10:59 2620.683 N
mv: socket 1, 2026-01-24 10:25:59 2620.683 N
mv: socket 1, 2026-01-24 10:40:59 2620.683 N
mv: socket 1, 2026-01-24 10:55:59 2620.683 N
mv: socket 1, 2026-01-24 11:10:59 2620.683 N
mv: socket 1, 2026-01-24 11:25:59 2620.683 N
mv: socket 1, 2026-01-24 11:40:59 2620.683 N
mv: socket 1, 2026-01-24 11:55:59 2620.683 N
mv: socket 1, 2026-01-24 12:10:59 2620.683 N
mv: socket 1, 2026-01-24 12:25:59 2620.683 N
mv: socket 1, 2026-01-24 12:40:59 2620.683 N
mv: socket 1, 2026-01-24 12:55:59 2620.683 N
mv: socket 1, 2026-01-24 13:10:59 2620.683 N
mv: socket 1, 2026-01-24 13:25:59 2620.683 N
mv: socket 1, 2026-01-24 13:40:59 2620.683 N
mv: socket 1, 2026-01-24 13:55:59 2620.683 N
mv: socket 1, 2026-01-24 14:10:59 2620.683 N
mv: socket 1, 2026-01-24 14:25:59 2620.683 N
mv: socket 1, 2026-01-24 14:40:59 2620.683 N
mv: socket 1, 2026-01-24 14:43:49 2620.683 N
txstop2: id 0xffffffffffffffff, socket 1, 2026-01-24 14:43:49 2620.683kWh 050FE8E3210000 6 5 N
txstart2: id 0xffffffffffffffff, socket 1, 2026-01-26 08:03:34 2620.683kWh 050FE8E3210000 3 2 N
mv: socket 1, 2026-01-26 08:03:34 2620.683 N
mv: socket 1, 2026-01-26 08:03:36 2620.683 N
mv: socket 1, 2026-01-26 08:18:35 2623.240 N
mv: socket 1, 2026-01-26 08:33:36 2625.985 N
mv: socket 1, 2026-01-26 08:48:35 2628.725 N
mv: socket 1, 2026-01-26 09:03:35 2631.464 N
mv: socket 1, 2026-01-26 09:18:35 2634.195 N
mv: socket 1, 2026-01-26 09:33:35 2636.928 N
mv: socket 1, 2026-01-26 09:48:35 2639.661 N
mv: socket 1, 2026-01-26 10:03:35 2642.389 N
mv: socket 1, 2026-01-26 10:18:35 2645.124 N
mv: socket 1, 2026-01-26 10:33:35 2647.859 N
mv: socket 1, 2026-01-26 10:48:35 2650.091 N
mv: socket 1, 2026-01-26 11:03:35 2650.091 N
